
CAPPROD mensa                                                            capprod2         BACKUP                            ARCHIVELOG    COMPLETED               07/05/2017 07/05/2017 18:31:17 18:34:28       17,22      17,22 SBT_TAPE                    3                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
itaquera vmegas.cnhsp.local                                               CNHPROD          BACKUP                            SPFILE        COMPLETED               07/05/2017 07/05/2017 22:10:35 22:10:36           0          0 ERRO                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
itaquera vmegas.cnhsp.local                                               CNHPROD          BACKUP                            CONTROLFILE   COMPLETED               07/05/2017 07/05/2017 22:10:33 22:10:35         ,01        ,01 DISK                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
itaquera vmegas.cnhsp.local                                               CNHPROD          BACKUP                            CONTROLFILE   COMPLETED               07/05/2017 07/05/2017 22:10:30 22:10:33         ,01        ,01 DISK                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
itaquera vmegas.cnhsp.local                                               CNHPROD          BACKUP                            INCR          COMPLETED               07/05/2017 07/05/2017 22:00:06 22:10:30        2,88       12,6 DISK                       10                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         


armenia VMEDESSA                                                         cnhprod          BACKUP                            ARCHIVELOG    COMPLETED               07/05/2017 07/05/2017 18:33:21 18:36:53        1,24       3,71 DISK                        4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
armenia VMEDESSA                                                         cnhprod          BACKUP                            SPFILE        COMPLETED               07/05/2017 07/05/2017 18:33:17 18:33:19           0          0 ERRO                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
armenia VMEDESSA                                                         cnhprod          BACKUP                            CONTROLFILE   COMPLETED               07/05/2017 07/05/2017 18:33:16 18:33:17         ,01        ,01 DISK                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
armenia VMEDESSA                                                         cnhprod          BACKUP                            CONTROLFILE   COMPLETED               07/05/2017 07/05/2017 18:33:14 18:33:16         ,01        ,01 DISK                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
armenia VMEDESSA                                                         cnhprod          BACKUP                            INCR          COMPLETED               07/05/2017 07/05/2017 18:00:06 18:33:14       10,76      57,81 DISK                       33                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          


campinas ABNCASRV01                                                       cnhprod          BACKUP                            ARCHIVELOG    FAILED                  07/05/2017 07/05/2017 06:14:18 06:15:50           0          0 ERRO                        2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
campinas ABNCASRV01                                                       cnhprod          BACKUP                            SPFILE        COMPLETED               07/05/2017 07/05/2017 06:14:07 06:14:10           0          0 ERRO                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
campinas ABNCASRV01                                                       cnhprod          BACKUP                            CONTROLFILE   COMPLETED               07/05/2017 07/05/2017 06:14:00 06:14:07         ,01        ,01 DISK                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
campinas ABNCASRV01                                                       cnhprod          BACKUP                            CONTROLFILE   COMPLETED               07/05/2017 07/05/2017 06:13:55 06:13:59         ,01        ,01 DISK                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
campinas ABNCASRV01                                                       cnhprod          BACKUP                            INCR          COMPLETED               07/05/2017 07/05/2017 06:00:05 06:13:55        3,46      15,32 DISK                       14                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         


samaro ABNSASRV01                                                       cnhprod          BACKUP                            ARCHIVELOG    FAILED                  07/05/2017 07/05/2017 06:13:26 06:13:27           0          0 ERRO                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
samaro ABNSASRV01                                                       cnhprod          BACKUP                            SPFILE        COMPLETED               07/05/2017 07/05/2017 06:12:59 06:13:01           0          0 ERRO                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
samaro ABNSASRV01                                                       cnhprod          BACKUP                            CONTROLFILE   COMPLETED               07/05/2017 07/05/2017 06:12:56 06:12:59         ,01        ,01 DISK                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
samaro ABNSASRV01                                                       cnhprod          BACKUP                            CONTROLFILE   COMPLETED               07/05/2017 07/05/2017 06:12:54 06:12:56         ,01        ,01 DISK                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
samaro ABNSASRV01                                                       cnhprod          BACKUP                            INCR          COMPLETED               07/05/2017 07/05/2017 06:00:04 06:12:54        3,22      14,32 DISK                       13                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           


não há linhas selecionadas


guarulhos ABNGRSRV01                                                       cnhprod          BACKUP                            ARCHIVELOG    COMPLETED               07/05/2017 07/05/2017 06:09:21 06:13:46        1,09       3,21 DISK                        4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
guarulhos ABNGRSRV01                                                       cnhprod          BACKUP                            SPFILE        COMPLETED               07/05/2017 07/05/2017 06:09:01 06:09:04           0          0 ERRO                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
guarulhos ABNGRSRV01                                                       cnhprod          BACKUP                            CONTROLFILE   COMPLETED               07/05/2017 07/05/2017 06:08:57 06:09:01         ,01        ,01 DISK                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
guarulhos ABNGRSRV01                                                       cnhprod          BACKUP                            CONTROLFILE   COMPLETED               07/05/2017 07/05/2017 06:08:54 06:08:57         ,01        ,01 DISK                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
guarulhos ABNGRSRV01                                                       cnhprod          BACKUP                            INCR          COMPLETED               07/05/2017 07/05/2017 06:00:05 06:08:54        2,55       9,92 DISK                        9                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        


jundiai ORION                                                            cnhprod          BACKUP                            ARCHIVELOG    FAILED                  07/05/2017 07/05/2017 06:09:08 06:09:09           0          0 ERRO                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
jundiai ORION                                                            cnhprod          BACKUP                            SPFILE        COMPLETED               07/05/2017 07/05/2017 06:08:59 06:09:02           0          0 ERRO                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
jundiai ORION                                                            cnhprod          BACKUP                            CONTROLFILE   COMPLETED               07/05/2017 07/05/2017 06:08:58 06:08:59         ,01        ,01 DISK                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
jundiai ORION                                                            cnhprod          BACKUP                            CONTROLFILE   COMPLETED               07/05/2017 07/05/2017 06:08:56 06:08:58         ,01        ,01 DISK                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
jundiai ORION                                                            cnhprod          BACKUP                            INCR          COMPLETED               07/05/2017 07/05/2017 06:00:38 06:08:56        2,48       8,75 DISK                        8                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          


sorocaba DIONISIO                                                         cnhprod          BACKUP                            ARCHIVELOG    FAILED                  07/05/2017 07/05/2017 05:08:14 05:08:14           0          0 ERRO                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
sorocaba DIONISIO                                                         cnhprod          BACKUP                            SPFILE        COMPLETED               07/05/2017 07/05/2017 05:08:08 05:08:11           0          0 ERRO                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
sorocaba DIONISIO                                                         cnhprod          BACKUP                            CONTROLFILE   COMPLETED               07/05/2017 07/05/2017 05:08:07 05:08:08         ,01        ,01 DISK                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
sorocaba DIONISIO                                                         cnhprod          BACKUP                            CONTROLFILE   COMPLETED               07/05/2017 07/05/2017 05:08:05 05:08:07         ,01        ,01 DISK                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
